z_parent,n_parent,elem_parent,parent_l_seqno,decay,z_daughter,n_daughter,elem_daughter,shell,energy,old_energy,intensity,intensity_unc_abs,from_gamma_energy,conversion_coeff_shell
81,127,Tl,0,B-,82,126,Pb,L2O1,15.053,15.053,0.0342,0.000904922844878968,583.187,
81,127,Tl,0,B-,82,126,Pb,L1N2,15.098,15.098,0.00189,0.00005593971213681352,583.187,
81,127,Tl,0,B-,82,126,Pb,L2O4,15.179,15.179,0.00462,0.00012021717743869632,583.187,
81,127,Tl,0,B-,82,126,Pb,L2P1,15.191,15.191,4.1e-05,0.000020379052350384054,583.187,
81,127,Tl,0,B-,82,126,Pb,L1N3,15.216,15.216,0.00229,0.0000664908437251366,583.187,
81,127,Tl,0,B-,82,126,Pb,L1O23,15.766,15.756 - 15.777,0.00082,0.000024910748774605545,583.187,
81,127,Tl,0,B-,82,126,Pb,L1P23,15.86,15.860,2.81e-05,0.0000021545165915169646,583.187,
81,127,Tl,0,B-,82,126,Pb,KA2,72.805,72.805,0.361,0.005945029369807273,583.187,0.01511 22
81,127,Tl,0,B-,82,126,Pb,KA1,74.97,74.970,0.606,0.009661449850399732,583.187,0.01511 22
81,127,Tl,0,B-,82,126,Pb,KpB1,84.986,84.451 - 85.521,0.207,0.004500909280211906,583.187,
81,127,Tl,0,B-,82,126,Pb,KB,86.022,84.451 - 87.592,0.27,0.005767863430874333,583.187,0.01511 22
81,127,Tl,0,B-,82,126,Pb,KpB2,87.301,87.242 - 87.360,0.0626,0.0017091325369235845,583.187,
81,127,Tl,0,B-,82,126,Pb,L3M1,9.184,9.18,5.5e-05,0.000009085535396685675,722.04,
81,127,Tl,0,B-,82,126,Pb,L3M4,10.449,10.45,0.000107,0.000017570529075655617,722.04,
81,127,Tl,0,B-,82,126,Pb,L3M5,10.551,10.55,0.000107,0.000017570529075655617,722.04,
81,127,Tl,0,B-,82,126,Pb,L3,11.109,9.18 - 13.03,0.00136,0.00022283378499396105,722.04,4.9E-5 6
81,127,Tl,0,B-,82,126,Pb,L2M1,11.349,11.35,2.1e-05,0.0000033729829634988836,722.04,
